,Customer_ID,Name,Surname,Gender,Age,Region,Job_Classification,Date_Joined,Balance
0,100000001,Simon,Walsh,Male,21,England,White Collar,2015-01-05,113810.15
1,400000002,Jasmine,Miller,Female,34,Northern Ireland,Blue Collar,2015-01-06,36919.73
2,100000003,Liam,Brown,Male,46,England,White Collar,2015-01-07,101536.83
3,300000004,Trevor,Parr,Male,32,Wales,White Collar,2015-01-08,1421.52
4,100000005,Deirdre,Pullman,Female,38,England,Blue Collar,2015-01-09,35639.79
5,300000006,Ava,Coleman,Female,30,Wales,Blue Collar,2015-01-09,122443.77
6,100000007,Dorothy,Thomson,Female,34,England,Blue Collar,2015-01-11,42879.84
7,200000008,Lisa,Knox,Female,48,Scotland,Other,2015-01-11,36680.17
8,300000009,Ruth,Campbell,Female,33,Wales,White Collar,2015-01-11,74284.35
9,100000010,Dominic,Parr,Male,42,England,White Collar,2015-01-12,10912.45
10,100000011,Dominic,Lewis,Male,40,England,White Collar,2015-01-12,39667.83
11,100000012,Benjamin,Grant,Male,39,England,White Collar,2015-01-12,32281.62
12,100000013,Ryan,MacDonald,Male,24,England,White Collar,2015-01-12,40781.63
13,200000014,Thomas,Lawrence,Male,46,Scotland,Other,2015-01-12,48791.46
14,300000015,Madeleine,Marshall,Female,36,Wales,Other,2015-01-12,2846.03
15,100000016,Nicholas,Newman,Male,42,England,White Collar,2015-01-14,2116.85
16,200000017,Grace,Hill,Female,31,Scotland,Other,2015-01-14,10356.31
17,200000018,Samantha,Coleman,Female,42,Scotland,Other,2015-01-14,3801.69
18,100000019,William,Ince,Male,40,England,Blue Collar,2015-01-15,65534.69
19,100000020,Audrey,Jones,Female,46,England,Blue Collar,2015-01-15,11462.64
20,300000021,Boris,Johnston,Male,37,Wales,Other,2015-01-16,31778.9
21,200000022,Jason,Butler,Male,58,Scotland,Blue Collar,2015-01-18,21252.97
22,300000023,Deirdre,McDonald,Female,41,Wales,White Collar,2015-01-18,66785.78
23,200000024,Carl,Quinn,Male,52,Scotland,Blue Collar,2015-01-19,6580.81
24,100000025,Jennifer,Hughes,Female,38,England,White Collar,2015-01-20,20505.32
25,200000026,Richard,Fraser,Male,55,Scotland,Blue Collar,2015-01-21,43249.26
26,400000027,Rachel,McGrath,Female,37,Northern Ireland,White Collar,2015-01-23,3967.2
27,100000028,Alison,Fisher,Female,33,England,White Collar,2015-01-25,3428.56
28,200000029,Lucas,Mackenzie,Male,50,Scotland,Blue Collar,2015-01-25,20516.1
29,100000030,Luke,Wilkins,Male,42,England,White Collar,2015-01-27,10813.83
30,100000031,Megan,Bell,Female,25,England,White Collar,2015-01-28,38889.76
31,300000032,Warren,Edmunds,Male,30,Wales,White Collar,2015-01-28,14094.01
32,200000033,Grace,Chapman,Female,58,Scotland,Other,2015-01-29,25865.2
33,100000034,Jake,Wilson,Male,26,England,Other,2015-01-30,5833.62
34,100000035,Karen,Dyer,Female,34,England,Blue Collar,2015-01-31,77809.59
35,100000036,Yvonne,Thomson,Female,36,England,White Collar,2015-01-31,31680.67
36,100000037,Sophie,Gill,Female,33,England,White Collar,2015-01-31,20504.37
37,100000038,Robert,Cornish,Male,31,England,Other,2015-01-31,5688.36
38,200000039,Luke,Martin,Male,35,Scotland,Blue Collar,2015-01-31,12848.59
39,200000040,Gavin,Pullman,Male,59,Scotland,Other,2015-01-31,114456.23
40,100000041,Edward,Terry,Male,27,England,Blue Collar,2015-02-01,51412.6
41,100000042,Diane,Black,Female,35,England,White Collar,2015-02-01,9695.7
42,200000043,Jake,Morgan,Male,49,Scotland,Blue Collar,2015-02-01,114021.21
43,400000044,Yvonne,Churchill,Female,22,Northern Ireland,Other,2015-02-01,107728.07
44,100000045,Dorothy,Johnston,Female,53,England,Other,2015-02-03,2893.19
45,200000046,Lisa,Berry,Female,47,Scotland,Other,2015-02-03,54589.61
46,200000047,Leah,Nolan,Female,32,Scotland,Other,2015-02-03,59501.63
47,400000048,Carolyn,Lewis,Female,19,Northern Ireland,Other,2015-02-08,14337.82
48,100000049,Simon,Ball,Male,27,England,White Collar,2015-02-12,23921.89
49,100000050,Charles,Nolan,Male,39,England,White Collar,2015-02-12,39034.14
50,100000051,Sophie,Wilkins,Female,29,England,Blue Collar,2015-02-12,1401.43
51,100000052,Kimberly,James,Female,31,England,Blue Collar,2015-02-12,41626.25
52,100000053,Madeleine,Ellison,Female,37,England,Other,2015-02-12,47551.7
53,100000054,Irene,MacLeod,Female,32,England,White Collar,2015-02-12,24187.98
54,100000055,Cameron,Taylor,Male,24,England,White Collar,2015-02-12,4912.21
55,100000056,Liam,Gibson,Male,40,England,White Collar,2015-02-12,58391.45
56,100000057,Donna,Knox,Female,33,England,Blue Collar,2015-02-12,58033.89
57,100000058,Piers,Morgan,Male,44,England,White Collar,2015-02-12,35831.2
58,100000059,Phil,Randall,Male,39,England,Other,2015-02-12,1879.85
59,100000060,Ryan,White,Male,47,England,White Collar,2015-02-12,23375.57
60,100000061,Kylie,Howard,Female,35,England,White Collar,2015-02-12,4586.23
61,100000062,Fiona,Bell,Female,47,England,Other,2015-02-12,20336.8
62,100000063,Kevin,Gibson,Male,47,England,White Collar,2015-02-12,22414.93
63,100000064,Bernadette,Gibson,Female,39,England,White Collar,2015-02-12,40305.24
64,200000065,Maria,Hughes,Female,50,Scotland,Other,2015-02-12,18091.36
65,200000066,Piers,Burgess,Male,43,Scotland,Blue Collar,2015-02-12,20076.8
66,200000067,Dan,Ellison,Male,47,Scotland,Blue Collar,2015-02-12,5300.47
67,200000068,Lucas,Piper,Male,61,Scotland,Blue Collar,2015-02-12,7162.43
68,200000069,Jason,Sharp,Male,53,Scotland,Blue Collar,2015-02-12,35751.37
69,200000070,Kevin,Parr,Male,45,Scotland,Other,2015-02-12,15013.76
70,200000071,Dan,Mills,Male,49,Scotland,Blue Collar,2015-02-12,70041.44
71,200000072,Angela,Roberts,Female,51,Scotland,Other,2015-02-12,35937.38
72,300000073,Hannah,White,Female,36,Wales,White Collar,2015-02-12,41442.1
73,300000074,Oliver,Simpson,Male,45,Wales,Other,2015-02-12,36696.92
74,400000075,Olivia,Dowd,Female,30,Northern Ireland,White Collar,2015-02-12,21.03
75,200000076,Michael,Hemmings,Male,44,Scotland,Blue Collar,2015-02-24,58237.65
76,100000077,Frank,Brown,Male,38,England,White Collar,2015-03-09,28509.46
77,100000078,Diane,Simpson,Female,36,England,Other,2015-03-10,38715.45
78,300000079,Ruth,Mathis,Female,23,Wales,Blue Collar,2015-03-15,7370.52
79,100000080,David,Peters,Male,34,England,White Collar,2015-03-16,245.46
80,100000081,Joan,Buckland,Female,36,England,White Collar,2015-03-16,59935.75
81,100000082,Neil,Robertson,Male,20,England,White Collar,2015-03-16,11624.36
82,100000083,Paul,Mackay,Male,31,England,Blue Collar,2015-03-16,9346.66
83,100000084,Dylan,Fraser,Male,42,England,White Collar,2015-03-16,43770.37
84,100000085,Pippa,Buckland,Female,38,England,White Collar,2015-03-16,63642.19
85,100000086,Matt,McGrath,Male,39,England,White Collar,2015-03-16,22831.08
86,100000087,Jack,White,Male,41,England,Other,2015-03-16,4846.57
87,100000088,Jasmine,Piper,Female,24,England,White Collar,2015-03-16,71571.52
88,100000089,Michelle,Ellison,Female,24,England,White Collar,2015-03-16,42409.89
89,100000090,Wanda,Henderson,Female,35,England,White Collar,2015-03-16,4194.57
90,100000091,Blake,Reid,Male,35,England,White Collar,2015-03-16,75613.68
91,100000092,Jane,Forsyth,Female,26,England,White Collar,2015-03-16,28587.08
92,100000093,Dan,Peake,Male,23,England,White Collar,2015-03-16,14699.05
93,100000094,Lisa,Davies,Female,38,England,Other,2015-03-16,44034.26
94,100000095,Rebecca,Knox,Female,30,England,White Collar,2015-03-16,55046.35
95,100000096,Joshua,Slater,Male,28,England,White Collar,2015-03-16,67479.01
96,100000097,Heather,Wallace,Female,38,England,Blue Collar,2015-03-16,61890.85
97,100000098,Maria,Johnston,Female,36,England,White Collar,2015-03-16,1430.6
98,200000099,Robert,May,Male,40,Scotland,Blue Collar,2015-03-16,5456.86
99,200000100,Carolyn,Robertson,Female,56,Scotland,Other,2015-03-16,13251.27
100,200000101,Stewart,Lewis,Male,51,Scotland,Blue Collar,2015-03-16,119014.87
101,200000102,Emma,Piper,Female,44,Scotland,White Collar,2015-03-16,18829.79
102,200000103,Nicola,Powell,Female,55,Scotland,White Collar,2015-03-16,35939.04
103,200000104,Diana,McDonald,Female,57,Scotland,Other,2015-03-16,22686.0
104,200000105,Stephen,Ross,Male,48,Scotland,White Collar,2015-03-16,85108.08
105,200000106,Ella,Bond,Female,54,Scotland,Other,2015-03-16,44973.03
106,200000107,Ian,Wilson,Male,36,Scotland,Blue Collar,2015-03-16,12616.44
107,200000108,Piers,Quinn,Male,48,Scotland,Blue Collar,2015-03-16,23910.87
108,200000109,Joe,Forsyth,Male,63,Scotland,Other,2015-03-16,73461.71
109,200000110,Tim,Jones,Male,63,Scotland,Blue Collar,2015-03-16,26474.23
110,300000111,Sonia,Robertson,Female,25,Wales,Other,2015-03-16,70799.64
111,300000112,Nathan,Paterson,Male,26,Wales,White Collar,2015-03-16,20627.65
112,400000113,Tim,Hardacre,Male,29,Northern Ireland,White Collar,2015-03-16,82229.52
113,400000114,Fiona,Mills,Female,18,Northern Ireland,Other,2015-03-16,51171.29
114,400000115,Ruth,Oliver,Female,43,Northern Ireland,Blue Collar,2015-03-16,37889.38
115,100000116,Alison,Johnston,Female,36,England,Other,2015-03-19,21806.3
116,100000117,Amy,McGrath,Female,40,England,Other,2015-03-25,12415.5
117,200000118,Adam,McGrath,Male,52,Scotland,Other,2015-03-28,67682.92
118,100000119,Vanessa,Lyman,Female,18,England,White Collar,2015-03-31,33524.41
119,100000120,Andrea,Dickens,Female,31,England,White Collar,2015-03-31,136370.38
120,100000121,Ian,Slater,Male,37,England,White Collar,2015-03-31,39159.35
121,100000122,Jacob,Payne,Male,25,England,Other,2015-03-31,3738.1
122,100000123,Harry,Short,Male,50,England,White Collar,2015-03-31,43234.21
123,100000124,John,Black,Male,39,England,Other,2015-04-01,111149.47
124,100000125,Jonathan,MacDonald,Male,27,England,White Collar,2015-04-01,12312.49
125,100000126,Benjamin,Blake,Male,42,England,White Collar,2015-04-01,55661.5
126,100000127,Emma,Fraser,Female,27,England,White Collar,2015-04-01,10481.48
127,100000128,Virginia,Berry,Female,41,England,White Collar,2015-04-01,4347.79
128,100000129,Peter,Pullman,Male,47,England,White Collar,2015-04-01,15093.04
129,100000130,Alison,MacLeod,Female,27,England,White Collar,2015-04-01,27738.77
130,100000131,Anna,Wright,Female,41,England,White Collar,2015-04-01,27557.08
131,100000132,James,Marshall,Male,20,England,Blue Collar,2015-04-01,9578.65
132,100000133,Ruth,Bower,Female,38,England,White Collar,2015-04-02,40456.97
133,100000134,Owen,Powell,Male,34,England,Blue Collar,2015-04-02,44744.24
134,100000135,Piers,King,Male,42,England,White Collar,2015-04-02,56652.56
135,100000136,Christopher,Mackenzie,Male,26,England,White Collar,2015-04-02,12994.18
136,100000137,Sarah,Wallace,Female,43,England,White Collar,2015-04-02,42207.46
137,100000138,Richard,Hemmings,Male,37,England,White Collar,2015-04-02,10704.25
138,100000139,Nicola,Rampling,Female,40,England,White Collar,2015-04-02,57140.07
139,200000140,Keith,Harris,Male,57,Scotland,Blue Collar,2015-04-02,40510.36
